Weather_Simple,crashes,severe_rate
Clear,3405216,16.908472179151044
Cloudy,3163750,21.65275385223232
Fog,202399,16.209566252797693
Other,178062,21.53800361671777
Rain,540375,23.402452000925283
Snow,173360,19.468735579141672
Storm,65232,18.191991660534708
